ShipmentID,OrderDate,DeliveryDate,ExpectedDate,OriginCity,DestinationCity,Region,Distance_km,Cost_USD,DeliveryStatus,DeliveryTime_Days
SHP0001,2024-04-24,2024-04-30,2024-04-27,Delhi,Kolkata,East,1566,1369.53,Delayed,6
SHP0002,2024-01-16,2024-01-18,2024-01-18,Chandigarh,Mumbai,West,1282,1859.82,On-time,2
SHP0003,2024-11-28,2024-12-07,2024-12-05,Chandigarh,Hyderabad,South,969,1193.8,Delayed,9
SHP0004,2024-08-04,2024-08-08,2024-08-08,Kolkata,Hyderabad,South,1613,1772.14,On-time,4
SHP0005,2024-02-19,2024-02-23,2024-02-23,Kolkata,Lucknow,North,1702,1116.54,On-time,4
SHP0006,2024-03-04,2024-03-09,2024-03-09,Chandigarh,Ahmedabad,West,1748,1146.68,On-time,5
SHP0007,2024-02-05,2024-02-10,2024-02-07,Patna,Hyderabad,South,642,358.29,Delayed,5
SHP0008,2024-05-22,2024-05-30,2024-05-27,Delhi,Lucknow,North,383,523.25,Delayed,8
SHP0009,2024-05-16,2024-05-26,2024-05-23,Bhubaneswar,Hyderabad,South,1297,1428.15,Delayed,10
SHP0010,2024-08-24,2024-08-29,2024-08-29,Hyderabad,Bangalore,South,1360,1642.98,On-time,5
SHP0011,2024-04-27,2024-04-29,2024-04-29,Hyderabad,Kolkata,East,185,96.31,On-time,2
SHP0012,2024-12-01,2024-12-07,2024-12-06,Hyderabad,Kolkata,East,1366,2007.9,Delayed,6
SHP0013,2024-05-06,2024-05-15,2024-05-13,Mumbai,Kolkata,East,1579,2103.93,Delayed,9
SHP0014,2024-04-22,2024-04-27,2024-04-25,Ahmedabad,Pune,West,1597,1137.61,Delayed,5
SHP0015,2024-03-22,2024-03-30,2024-03-29,Delhi,Hyderabad,South,838,571.37,Delayed,8
SHP0016,2024-05-08,2024-05-14,2024-05-14,Ahmedabad,Ahmedabad,West,284,194.09,On-time,6
SHP0017,2024-05-30,2024-06-04,2024-06-04,Patna,Kolkata,East,1528,1228.88,On-time,5
SHP0018,2024-02-24,2024-03-02,2024-03-02,Patna,Hyderabad,South,1089,1115.96,On-time,7
SHP0019,2024-10-03,2024-10-09,2024-10-09,Bangalore,Kolkata,East,1050,978.54,On-time,6
SHP0020,2024-05-02,2024-05-04,2024-05-04,Delhi,Bhubaneswar,East,1989,1573.75,On-time,2
SHP0021,2024-09-29,2024-10-02,2024-10-02,Delhi,Mumbai,West,1989,2211.48,On-time,3
SHP0022,2024-10-03,2024-10-13,2024-10-10,Chennai,Mumbai,West,688,439.97,Delayed,10
SHP0023,2024-09-21,2024-09-26,2024-09-26,Ahmedabad,Bhubaneswar,East,181,143.38,On-time,5
SHP0024,2024-04-22,2024-04-24,2024-04-24,Kolkata,Hyderabad,South,170,147.28,On-time,2
SHP0025,2024-02-06,2024-02-12,2024-02-12,Bangalore,Lucknow,North,1044,998.14,On-time,6
SHP0026,2024-10-19,2024-10-26,2024-10-25,Hyderabad,Hyderabad,South,1018,1308.31,Delayed,7
SHP0027,2024-12-03,2024-12-08,2024-12-08,Mumbai,Delhi,North,1006,703.87,On-time,5
SHP0028,2024-07-25,2024-08-01,2024-08-01,Chandigarh,Delhi,North,273,276.89,On-time,7
SHP0029,2024-08-17,2024-08-21,2024-08-20,Bangalore,Hyderabad,South,997,1089.14,Delayed,4
SHP0030,2024-02-20,2024-02-25,2024-02-22,Bangalore,Ahmedabad,West,1762,962.85,Delayed,5
SHP0031,2024-07-27,2024-08-02,2024-08-01,Delhi,Bangalore,South,871,964.67,Delayed,6
SHP0032,2024-07-18,2024-07-23,2024-07-22,Delhi,Mumbai,West,1476,989.69,Delayed,5
SHP0033,2024-04-21,2024-04-25,2024-04-23,Mumbai,Chennai,South,174,98.32,Delayed,4
SHP0034,2024-09-01,2024-09-09,2024-09-07,Kolkata,Chandigarh,North,1090,1579.29,Delayed,8
SHP0035,2024-02-04,2024-02-11,2024-02-11,Delhi,Chandigarh,North,1978,2899.02,On-time,7
SHP0036,2024-02-11,2024-02-19,2024-02-16,Hyderabad,Chandigarh,North,1120,1465.41,Delayed,8
SHP0037,2024-06-09,2024-06-12,2024-06-12,Bhubaneswar,Hyderabad,South,1425,1146.57,On-time,3
SHP0038,2024-01-05,2024-01-12,2024-01-10,Bhubaneswar,Kolkata,East,254,151.81,Delayed,7
SHP0039,2024-05-15,2024-05-18,2024-05-18,Chandigarh,Hyderabad,South,1850,2190.83,On-time,3
SHP0040,2024-08-12,2024-08-21,2024-08-18,Chennai,Kolkata,East,1702,1600.14,Delayed,9
SHP0041,2024-02-23,2024-02-26,2024-02-26,Chandigarh,Patna,East,269,167.33,On-time,3
SHP0042,2024-04-17,2024-04-24,2024-04-24,Chennai,Patna,East,1348,1341.5,On-time,7
SHP0043,2024-01-27,2024-02-01,2024-01-29,Patna,Pune,West,616,329.18,Delayed,5
