Loan ID,Issue Date,Borrower ID,State,Loan Amount,Interest Rate,Term (Months),Loan Status,Loan Grade,Loan Intent,Annual Income,Home Ownership,DTI,LTV,Total Payments Received,Recovery Amount
L0001,2023-05-11,B0001,OH,23180,10.1,60,Fully Paid,A,small business,41676,OWN,0.24,0.82,25521.18,0.0
L0002,2023-11-11,B0002,PA,32896,20.6,36,Current,D,credit card,34434,MORTGAGE,0.47,0.59,9222.59,0.0
L0003,2021-05-02,B0003,PA,13875,21.5,36,Current,A,home improvement,79810,RENT,0.33,0.7,2689.37,0.0
L0004,2022-04-12,B0004,OH,2622,14.9,60,Fully Paid,F,other,133361,OWN,0.17,0.87,3012.68,0.0
L0005,2021-11-27,B0005,NY,17725,12.7,36,Fully Paid,G,other,148696,OWN,0.16,0.79,19976.08,0.0
L0006,2021-03-29,B0006,NY,16646,14.0,36,Fully Paid,A,other,124636,RENT,0.33,0.69,18976.44,0.0
L0007,2023-05-22,B0007,MI,18029,9.5,60,Fully Paid,D,debt consolidation,34994,OWN,0.4,0.8,19741.76,0.0
L0008,2021-05-11,B0008,NC,30402,22.8,36,Current,A,small business,34234,RENT,0.41,0.55,3813.31,0.0
L0009,2023-02-09,B0009,GA,5263,14.0,36,Current,D,home improvement,99300,RENT,0.21,0.68,885.74,0.0
L0010,2021-12-10,B0010,IL,31987,22.6,60,Current,B,small business,73949,RENT,0.18,0.86,2113.92,0.0
L0011,2023-03-17,B0011,PA,9646,7.1,60,Late (31-120 days),D,debt consolidation,67405,RENT,0.11,0.6,0.0,0.0
L0012,2022-01-21,B0012,MI,28529,24.8,60,Fully Paid,B,home improvement,64872,RENT,0.37,0.58,35604.19,0.0
L0013,2023-08-14,B0013,CA,12664,13.9,36,Fully Paid,A,home improvement,72215,MORTGAGE,0.13,0.93,14424.3,0.0
L0014,2021-10-04,B0014,MI,36737,6.0,60,Fully Paid,B,credit card,53185,RENT,0.27,0.59,38941.22,0.0
L0015,2022-04-05,B0015,CA,36796,5.8,60,Current,A,small business,73442,MORTGAGE,0.34,0.62,13503.79,0.0
L0016,2021-01-22,B0016,FL,25027,19.9,36,Fully Paid,C,small business,81759,RENT,0.47,0.94,30007.37,0.0
L0017,2021-09-10,B0017,TX,30373,18.2,60,Current,A,credit card,71153,OWN,0.22,0.83,8244.83,0.0
L0018,2023-01-18,B0018,OH,37397,21.0,60,Fully Paid,C,other,107535,MORTGAGE,0.2,0.81,45250.37,0.0
L0019,2023-05-07,B0019,TX,21609,7.1,60,Charged Off,F,debt consolidation,132023,OWN,0.36,0.88,2771.85,10111.4
L0020,2022-04-20,B0020,MI,36835,5.7,60,Charged Off,E,small business,32581,RENT,0.35,0.55,5580.8,9880.57
L0021,2023-12-19,B0021,TX,39709,15.2,36,Fully Paid,F,credit card,81717,RENT,0.23,0.82,45744.77,0.0
L0022,2022-05-26,B0022,IL,20250,12.8,60,Fully Paid,F,home improvement,32763,OWN,0.47,0.73,22842.0,0.0
L0023,2022-12-01,B0023,FL,22172,14.2,60,Current,A,credit card,122910,RENT,0.44,0.87,2131.63,0.0
L0024,2023-09-03,B0024,GA,12555,24.8,36,Fully Paid,A,other,85480,OWN,0.19,0.73,15668.64,0.0
L0025,2021-07-09,B0025,FL,22874,24.4,60,Fully Paid,C,debt consolidation,68759,RENT,0.2,0.78,28455.26,0.0
L0026,2023-08-16,B0026,PA,14081,23.8,36,Current,F,other,106067,RENT,0.3,0.71,4585.71,0.0
L0027,2022-11-18,B0027,IL,25063,20.7,36,Fully Paid,G,home improvement,148094,MORTGAGE,0.41,0.72,30251.04,0.0
L0028,2023-08-16,B0028,TX,7819,12.1,36,Current,A,home improvement,55307,OWN,0.12,0.85,722.43,0.0
L0029,2022-07-17,B0029,GA,26712,13.2,60,Current,B,home improvement,126371,RENT,0.38,0.78,10402.38,0.0
L0030,2023-04-12,B0030,TX,25762,16.0,36,Fully Paid,A,home improvement,41064,OWN,0.36,0.78,29883.92,0.0
L0031,2022-10-09,B0031,NC,12046,21.6,36,Fully Paid,D,credit card,106848,MORTGAGE,0.19,0.7,14647.94,0.0
L0032,2021-01-21,B0032,NC,32463,6.4,36,Fully Paid,D,home improvement,67548,OWN,0.37,0.74,34540.63,0.0
L0033,2023-04-21,B0033,NY,29769,13.5,60,Current,A,home improvement,66945,MORTGAGE,0.48,0.84,1763.22,0.0
L0034,2021-06-16,B0034,FL,24150,6.7,60,Fully Paid,C,credit card,77937,OWN,0.12,0.87,25768.05,0.0
L0035,2022-01-23,B0035,GA,3711,15.3,60,Charged Off,D,home improvement,36476,OWN,0.23,0.81,648.73,938.22
L0036,2022-08-24,B0036,NC,5853,23.0,60,Fully Paid,D,other,81756,MORTGAGE,0.28,0.92,7199.19,0.0
L0037,2021-11-12,B0037,NY,30077,20.6,60,Fully Paid,A,other,120101,RENT,0.46,0.87,36272.86,0.0
L0038,2021-01-14,B0038,IL,24863,9.6,60,Fully Paid,F,small business,32382,RENT,0.48,0.75,27249.85,0.0
L0039,2021-08-30,B0039,GA,22792,24.5,60,Fully Paid,C,other,79683,RENT,0.28,0.8,28376.04,0.0
L0040,2023-02-16,B0040,NY,9942,18.3,36,Fully Paid,E,debt consolidation,117999,OWN,0.4,0.92,11761.39,0.0
L0041,2022-07-19,B0041,OH,2762,5.2,36,Current,E,debt consolidation,75276,OWN,0.31,0.78,1245.11,0.0
L0042,2023-06-17,B0042,GA,32987,10.1,36,Fully Paid,A,debt consolidation,63402,RENT,0.32,0.87,36318.69,0.0
L0043,2021-04-02,B0043,MI,16850,10.2,36,Fully Paid,A,credit card,121881,OWN,0.21,0.81,18568.7,0.0
L0044,2023-08-14,B0044,NY,13112,6.4,60,Fully Paid,D,other,140300,OWN,0.19,0.75,13951.17,0.0
L0045,2022-05-24,B0045,TX,25058,24.2,36,Current,A,debt consolidation,56946,RENT,0.22,0.61,9355.13,0.0
L0046,2023-02-15,B0046,MI,39890,14.6,36,Current,E,small business,109698,MORTGAGE,0.32,0.69,3304.32,0.0
L0047,2021-02-04,B0047,OH,1481,22.9,36,Fully Paid,D,credit card,144690,OWN,0.11,0.94,1820.15,0.0
L0048,2021-07-25,B0048,NC,33921,11.4,36,Current,E,small business,142309,OWN,0.46,0.8,14230.09,0.0
